Country Code,Country Name,Region,Subregion,Policy Measure Category,Policy Measure Type,Policy Measure Sub-Type,Policy Measure Description,Source,Addresses VAWG,Targets Women's Economic Security,Directly supports unpaid care,Gender Sensitive,Environmental relevance,Positive for environment,Gender-Green Nexus
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"Lion Electric (Lion), a company that manufactures all-electric trucks and buses, has announced construction of a Quebec-based battery manufacturing plant. The federal government has announced an investment of CAD $50 million, and an additional CAD $50 million has been announced from Quebec. Total investment equates to around $185 million CAD by Lion. The investment is provided as a loan, and it has been reported that around $30 million will be forgivable pending certain conditions achieved by the company, such as ensuring jobs are kept in Quebec. The company said it expects to employ 135 people at the plant when it is operational by 2023. It also plans to invest in a research and development facility that could create a number of spinoff jobs","https://www.energypolicytracker.org/;
https://www.cbc.ca/news/canada/montreal/trudeau-legault-electric-vehicle-announcement-1.5949998; https://www.newswire.ca/news-releases/lion-electric-announces-the-construction-of-its-battery-manufacturing-plant-and-innovation-center-in-quebec-826634300.html",NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"SDTC funding for cleantech projects for energy efficiency and low-emissions vehicle cleantech projects. The following nine projects, currently in research and development by Canadian businesses, are receiving $24.8M in combined funding support from the SD Tech Fund to address climate crisis, uphold jobs, and create sustainable growth in the cleantech industry: British Columbia: Pani Energy – CAD 2.8 million – developing optimization tools for water treatment plants that aggregate and analyze data from different sources; Motion Metrics International Corp. – CAD 5.6 million – developing a machine learning and AI-based solution that enables real-time optimization of ore crushing/grinding circuits. Alberta: Swirltex Inc. – CAD 1.4 million – treating wastewater through a novel process that improves on conventional membrane technology, providing higher quality results with less energy consumption; Modern Wellbore Solutions Ltd. – CAD 3.4 million – developed a downhole multilateral junction for shale oil and gas producers that enables multiple lateral wells to be drilled and accessed from a single well pad, reducing drilling and the associated costs and emissions. Ontario- Inmotive Inc. – CAD 2.4 million – developed a novel two-speed transmission, called the Ingear, to improve the powertrain efficiency of passenger electric vehicles, thereby reducing battery energy use per mile driven. Quebec  - Soléco Énergie Inc. – CAD 4 million – developed a process for converting low-value, mixed plastic waste into diesel, helping divert non-recyclable waste plastics from landfills; KSM Inc. – CAD 500,000– plans to be the first company to produce high-end fertilizers (potassium sulphate and potassium and magnesium sulphate) in Canada made from two abundant Canadian feedstocks. ","https://www.energypolicytracker.org/;
https://www.canada.ca/en/innovation-science-economic-development/news/2020/09/list-of-cleantech-projects-receiving-funding-from-sustainable-development-technology-canada-sdtc.html Accessed 21 September 2020",NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"Sollum Technologies (""Sollum"") received $3.15 million Canadian dollars of funding through the Technoclimat program. This major investment in Sollum's growth was preceded by $5 million Canadian dollars in funding from Sustainable Development Technology Canada (STDC) and $3.9 million Canadian dollars from Investissement Québec, its initial investors and National Bank. Technoclimat's goal is to support innovation in the energy sector and the reduction of greenhouse gas emissions in Québec. Technoclimat's investment and support will enable Sollum to trial the greenhouse production of peppers during the winter with its smart LED lighting solution which dynamically recreates, perfects, and modulates the full spectrum of the Sun's natural light.",https://www.energypolicytracker.org/,NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"Support oil and gas sector to rebound, create good jobs for workers and reduce its carbon footprint. The investment will help the Clean Resource Innovation Network (CRIN) accelerate the development and adoption of innovative technologies and processes that seek to lower the oil and gas industry’s environmental impacts. By developing ground-breaking clean tech and emission-lowering solutions through collaboration, CRIN will support economic growth and create good, well-paying jobs, with cleaner energy from source to end use as the result. Through this investment, CRIN aims to reduce the sector’s greenhouse gas emissions by 100 megatons by 2033. This is the equivalent of taking 1.5 million cars off the road. In addition, by supporting co-op positions for post-secondary students, work-integrated learning and skills retraining, CRIN will help develop the oil and gas sector’s highly skilled workforce of the future.","https://www.energypolicytracker.org/;
https://www.canada.ca/en/innovation-science-economic-development/news/2020/10/government-of-canada-invests-in-clean-technology-ecosystems.html",NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"Sustainable Development Technology Canada (SDTC) investments for clean energy. SDTC investments of $55 million in 20 Canadian companies who are pushing the boundaries of innovation and making Net Zero a reality. This funding will support small and medium-sized companies that are developing innovative solutions to help reduce greenhouse gas emissions, lessen the environmental impacts of conventional mining methods and support more sustainable agricultural practices.","https://www.energypolicytracker.org/;
https://www.sdtc.ca/en/investing-in-innovators-how-cleantech-entrepreneurs-are-leading-the-way-to-net-zero/",NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"Tax reduction measures for green technologies included in Budget 2021: i) Budget 2021 proposes to reduce by 50 per cent the general corporate and small business income tax rates for businesses that manufacture zero emission technologies. The reductions would go into effect on January 1, 2022, and would be gradually phased out starting January 1, 2029 and eliminated by January 1, 2032. It is estimated that this measure will reduce federal revenues by $45 million over five years, starting in 2021-22; ii) Budget 2021 proposes to expand the list of eligible equipment to include equipment used in pumped hydroelectric energy storage, renewable fuel production, hydrogen production by electrolysis of water, and hydrogen refuelling. Certain existing restrictions related to investments in water current, wave and tidal energy, active solar heating, and geothermal energy technologies would be removed. Budget 2021 proposes to update the eligibility criteria such that certain fossil-fuelled and low efficiency waste-fuelled electrical generation equipment will no longer be eligible after 2024. It is estimated that these measures will reduce federal revenues by $142 million over five years starting in 2021-22.","https://www.energypolicytracker.org/;
https://www.budget.gc.ca/2021/home-accueil-en.html",NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,The Canada Infrastructure Bank (CIB) announced $2 billion in funding to invest in large-scale building retrofits to increase energy efficiency and help make communities more sustainable.,https://cib-bic.ca/en/the-canada-infrastructure-bank-announces-a-plan-to-create-jobs-and-grow-the-economy/,NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"The Clean Energy for Rural and Remote Communities (CERRC) program, a $220 million funding, support a suite of diverse projects across Canada, to reduce the reliance of rural and remote communities on diesel fuel for heat and power, supports community-level capacity building to increase clean energy opportunities; and encourages energy efficiency. CERRC is also part of Canadian government's investing in Canada infrastructure plan. Investments also into the Nunatsiavut Firewood Supply Chain Network. This pilot project provides affordable firewood to the residents of Nunatsiavut as an alternative fuel source to diesel.","https://www.energypolicytracker.org/;
https://www.canada.ca/en/natural-resources-canada/news/2021/05/canada-invests-in-indigenous-clean-energy-projects-in-northern-newfoundland-and-labrador.html
https://www.canada.ca/en/natural-resources-canada/news/2021/05/investing-in-indigenous-clean-energy-projects-in-newfoundland-and-labrador.html",NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,The Government of Canada will cost-match more than $2.3 billion to support any additional provincial/territorial contributions for public transit. The Safe Restart Agreement (SRA) is a federal investment of more than $19 billion to help provinces and territories safely restart their economies and make Canada more resilient to possible future surges in cases of COVID-19.,"https://www.canada.ca/en/intergovernmental-affairs/services/safe-restart-agreement.html;
https://montreal.ctvnews.ca/provincial-federal-governments-announce-2-3-billion-for-cities-and-public-transit-1.5120417",NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"The new stream (part of the CAD 33 billion Investing in Canada Infrastructure Program) will support the following types of projects: Retrofits, repairs and upgrades for municipal, territorial, provincial and Indigenous buildings, health infrastructure and schools; COVID-19 response infrastructure, including measures to support physical distancing; Active transportation infrastructure, including parks, trails, foot bridges, bike lanes and multi-use paths; Disaster mitigation and adaptation projects, including natural infrastructure, flood and fire mitigation, and tree planting and related infrastructure; and Ventilation improvements projects. The stream supports near-term, quick- start projects and projects must respect the following timeframes: Construction must start no later than September 30, 2023; and, Projects must be completed by the end of 2023, or by the end of 2024 in the territories and in remote communities. Women are overrepresented in both the healthcare (by 17%) and education sector (by 7%) in Canada, relative to the rate of men's employment in these sectors. ","https://www.canada.ca/en/department-finance/economic-response-plan.html;
https://www.infrastructure.gc.ca/plan/covid-19-resilience-eng.html",NO,YES,NO,YES,YES,YES,YES
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"Through the Canada Infrastructure Bank (CIB) Growth Plan, CAD 2.5 billion has been allocated for clean power projects to support renewables generation and storage, and to transmit clean electricity between provinces, territories, and regions, including northern and Indigenous communities. This spending, as with other CIB packages, has an emphasis on public-private partnerships. It is estimated CIB Growth Plan Measures together will create approximately 60,000 jobs across the country.",https://cib-bic.ca/en/the-canada-infrastructure-bank-announces-a-plan-to-create-jobs-and-grow-the-economy/,NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"Up to $750 million to create a new Emissions Reduction Fund to support workers and reduce emissions in Canada's oil and gas sector, with a focus on methane. This fund will provide primarily repayable contributions to conventional and offshore oil and gas firms to support their investments to reduce greenhouse gas emissions. Of this amount, $75 million will be allocated to the offshore sector.",https://www.nrcan.gc.ca/science-data/funding-partnerships/funding-opportunities/current-funding-opportunities/emissions-reduction-fund/22781,NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"""A Healthy Environment and a Health Economy"" - Canada has pledged to create the new Strategic Innovation Fund – Net Zero Accelerator fund of $3 billion over five years to drive investment into large emissions reducing and job-creating projects. The fund will have 3 focus areas: 1) Support for the development and adoption of clean technology solutions in all industrial sectors; 2) Support for clean technology development in Canada’s aerospace and automobile manufacturing sectors; 3) Support for the development of a Canadian battery innovation and industrial ecosystem. In Budget 2021, an additional CAD 5 billion was announced for this fund.","https://www.canada.ca/content/dam/eccc/documents/pdf/climate-change/climate-plan/healthy_environment_healthy_economy_plan.pdf
",NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"""A Healthy Environment and a Health Economy"" - Canada has pledged to invest $1.5 billion in a Low-carbon and Zero-emissions Fuels Fund to increase the production and use of low-carbon fuels (e.g., hydrogen, biocrude, renewable natural gas and diesel, cellulosic ethanol). Additional investment of $964 million over four years to advance smart renewable energy and grid modernization projects to enable the clean grid of the future. This includes support to increase renewable power generation capacity such as wind and solar, and the deployment of grid modernization technologies such as power storage. This work will support the electrification of the broader economy and help jurisdictions minimize the role of fossil fuel-fired electricity generation in their electricity systems.","https://www.energypolicytracker.org/;
https://www.canada.ca/content/dam/eccc/documents/pdf/climate-change/climate-plan/healthy_environment_healthy_economy_plan.pdf",NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,Labour market,Activation measures and enterprise development,Not Specific,"""A Healthy Environment and a Health Economy"" - Canada has pledged to invest $1.5 billion over three years for green and inclusive community buildings through retrofits, repairs, upgrades and new builds. They will require that at least 10% of this $1.5 billion in funding be allocated to projects serving First Nations, Inuit and Métis communities, including Indigenous populations in urban centres. This funding builds on previous announcements in 2020 from the Fall Economic Statement and through the Canada Infrastructure Bank. This plan aims to support local communities in maximizing the benefits of these projects during their construction, including by supporting local work opportunities, skills training and fair wages to qualified local residents and groups who are traditionally underrepresented in the skilled trades sector, such as apprentices, Indigenous workers and women. ","https://www.energypolicytracker.org/;
https://www.canada.ca/content/dam/eccc/documents/pdf/climate-change/climate-plan/healthy_environment_healthy_economy_plan.pdf",NO,YES,NO,YES,YES,YES,YES
CAN,Canada,Americas,Northern America,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"""A Healthy Environment and a Health Economy"" - Canada pledged to invest an additional $287 million over two years to continue the Incentives for Zero-Emission Vehicles (iZEV) program until March 2022. The program provides a rebate of up to $5,000 on a light-duty zero-emission vehicle. The Government has also pledged to work with the United States on consumer availability of EVs, align Canada's Light Duty Vehicle regulations with stringent performance standards post-2025, and work on supply side policies for adoption of EVs.","https://www.energypolicytracker.org/;
https://www.canada.ca/content/dam/eccc/documents/pdf/climate-change/climate-plan/healthy_environment_healthy_economy_plan.pdf",NO,NO,NO,NO,YES,YES,NO
CAN,Canada,Americas,Northern America,Social protection,Social assistance,"Utility, housing and financial support","Federal-Provincial Safe Restart Agreement for transit: In British Columbia, $26 million to help families get around more affordably by making transit free for children aged 12 and under. Over 340,000 children aged 12 and under will be able to ride public transportation for free starting September 2021. Families in the TransLink service area will save up to $672 a year for each child that uses a monthly pass, while families in communities served by BC Transit could save up to $400 a year.","https://www.energypolicytracker.org/;
https://www.bcbudget.gov.bc.ca/2021/pdf/2021_Budget%20and%20Fiscal%20Plan.pdf",NO,NO,NO,NO,YES,YES,NO
CHL,Chile,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"Extension of public transport networks (metro, railways, electric buses) and of bicycle lanes over 2020-22 through the National Mobility Plan.","https://www.gob.cl/chileserecupera/; 
https://unfccc.int/sites/default/files/resource/4NC_Chile_Spanish.pdf; 
https://chilereports.cl/en/news/2020/09/03/the-chile-recovers-step-by-step-plan",NO,NO,NO,NO,YES,YES,NO
CHL,Chile,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"State Support Bonus and Solidarity Loan: Economic benefit to owners of buses, minibuses, cabs (urban and rural)",,NO,NO,NO,NO,YES,YES,NO
CHL,Chile,Americas,Latin America and the Caribbean,Social protection,Social assistance,"Utility, housing and financial support","Public investment in the repair and improvement programs to install thermal conditioning and energy efficiency in private homes, through better isolation and design. Funds will be distributed by the Ministry of Housing and Urbanism.","https://www.gob.cl/chileserecupera/; 
https://unfccc.int/sites/default/files/resource/4NC_Chile_Spanish.pdf; 
https://chilereports.cl/en/news/2020/09/03/the-chile-recovers-step-by-step-plan",NO,NO,NO,NO,YES,YES,NO
CHL,Chile,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"Public investment in the afforestation or reafforestation of over 24,000 hectares of land, to be accompanied by an improved wildfire risk management system. Funds distributed by the Department of Agriculture.","https://www.gob.cl/chileserecupera/; 
https://unfccc.int/sites/default/files/resource/4NC_Chile_Spanish.pdf; 
https://chilereports.cl/en/news/2020/09/03/the-chile-recovers-step-by-step-plan",NO,NO,NO,NO,YES,YES,NO
CHL,Chile,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,Public investment in hydraulic works: the conservation of rainwater works in cities and flood control works. Funds distributed by the Ministry of Public Works.,"https://www.gob.cl/chileserecupera/; 
https://unfccc.int/sites/default/files/resource/4NC_Chile_Spanish.pdf; 
https://chilereports.cl/en/news/2020/09/03/the-chile-recovers-step-by-step-plan",NO,NO,NO,NO,YES,YES,NO
CHL,Chile,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"Public investment to improve water management through the development and financing of 50 strategic plans for the management of water resources, of which 30 will be ready between 2020-2022; and strengthening of the national hydrometric and glaciological network. Funds will be distributed by the Ministry of Public Works.","https://www.gob.cl/chileserecupera/; 
https://unfccc.int/sites/default/files/resource/4NC_Chile_Spanish.pdf; 
https://chilereports.cl/en/news/2020/09/03/the-chile-recovers-step-by-step-plan",NO,NO,NO,NO,YES,YES,NO
CHL,Chile,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"Public investment in the energy efficiency of public buildings through the construction and improvement of public building projects such as police stations, schools, health centres, museums, theatres, and town hall buildings, among others. Funds will be distributed by the Ministry of Public Works. In Chile, women are overrepresented as employees in the healthcare sector (by 7.8%) and the education sector (by 10.6%), relative to men. ","https://www.gob.cl/chileserecupera/; 
https://unfccc.int/sites/default/files/resource/4NC_Chile_Spanish.pdf; 
https://chilereports.cl/en/news/2020/09/03/the-chile-recovers-step-by-step-plan",NO,YES,NO,YES,YES,YES,YES
CHL,Chile,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not Specific,"This policy imposes a corporate income tax (CIT) rate reduction to incentivise environmentally-friendly investments. Investment projects exceeding $10 million USD, if approved by the System of Environmental Impact Assessment (Sistema de Evaluación de Impacto Ambiental), will pay a one-time regional contribution in the amount of 1% of the fixed assets above $10 million USD. Projects contributing to health and development activities, as determined by the Finance Ministry, will be exempt. Valid for projects submitted until 31 December 2021. ",https://modernizaciontributaria.hacienda.cl/mas-recursos-para-chile ,NO,NO,NO,NO,YES,YES,NO
CHL,Chile,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"National Mobility Plan: the Chilean Government is investing $2.5 billion USD in public transportation infrastructure including the authorization of an additional 74 kilometres of pedestrian zones, 180 kilometres of temporary cycle paths and 153 kilometres of Solo Bus Tracks and exclusive routes for public transport. Funds will be dispersed to municipalities to execute approved projects.","http://www.subdere.gov.cl/sala-de-prensa/plan-nacional-de-movilidad-subdere-financia-124-proyectos-en-75-comunas; 
http://mtt.gob.cl/archivos/25822",NO,NO,NO,NO,YES,YES,NO
CHL,Chile,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"The Chilean government will finance 1,600 technification and irrigation projects for small- and medium-sized farms, benefitting 140 thousand hectares of land. Funds distributed by the Department of Agriculture.","https://www.gob.cl/chileserecupera/; 
https://unfccc.int/sites/default/files/resource/4NC_Chile_Spanish.pdf; 
https://chilereports.cl/en/news/2020/09/03/the-chile-recovers-step-by-step-plan",NO,NO,NO,NO,YES,YES,NO
CHN,China,Asia,Eastern Asia,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"As part of a wider Â¥ 4.35 trillion package China will redouble efforts to develop major transportation and water conservancy projects, and increase national railway development capital by 100 billion CNY. ",http://english.www.gov.cn/premier/news/202005/30/content_WS5ed197f3c6d0b3f0e94990da.html,NO,NO,NO,NO,YES,YES,NO
CHN,China,Asia,Eastern Asia,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not Specific,"The government extended  the automobile tax exemption program for new electric vehicles for two years in order to increase the sales of electric vehicles. Vehicles exempted include pure electric vehicles, plug in hybrids and fuel cell vehicles.","http://www.gov.cn/zhengce/zhengceku/2020-04/22/content_5505188.htm
, http://www.miit.gov.cn/n1146295/n1652858/n1652930/n4509607/c7885632/content.html",NO,NO,NO,NO,YES,YES,NO
CHN,China,Asia,Eastern Asia,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"China extended the electric vehicle subsidy policy, which was due to end in 2020, for two years in order to increase the sales of electric vehicles. EVs with a selling price of 300,000  or less will be supported and support will be provided to 2 million vehicles per year for a total of 6 million vehicles. Under the new plan, China is extending subsidies for another two years, cutting them by 10 percent, 20 percent and 30 percent year-on-year until their expiry in 2023.","http://www.gov.cn/zhengce/zhengceku/2020-04/23/content_5505502.htm
, http://www.gov.cn/zhengce/2020-04/23/content_5505506.htm
, http://jjs.mof.gov.cn/zxzyzf/jnjpbzzj/202006/t20200622_3536951.htm ",NO,NO,NO,NO,YES,YES,NO
CHN,China,Asia,Eastern Asia,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"This is a key stimulus measure to increase by 50 precent the electric vehicle charging network in China from its current level. This should enable 600,000 new charging points to be built in 2020. China is behind its original target of reaching 4.8 million charging points to accommodate 5 million EVs on the roads by 2020. ",https://technode.com/2020/04/10/china-is-investing-rmb-10-billion-in-ev-charging-infrastructure/,NO,NO,NO,NO,YES,YES,NO
CHN,China,Asia,Eastern Asia,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,"Flood control measures -- The State Council has decided to adjust the staffing of the National Committee for Disaster Reduction in light of institutional setup, personnel turnover and work requirements. China's Ministry of Finance and Ministry of Emergency Management (MEM) have allocated emergency funding of 130 million CNY (about $18.38 million) for flood control and drought relief in two provincial-level regions. Of the total, 100 million CNY will be used in Yunnan province for drought relief due to serious water shortage in some areas of the province. In addition, 30 million CNY of the funds will be channelled to the Inner Mongolia autonomous region for flood control.",http://english.www.gov.cn/statecouncil/ministries/202004/17/content_WS5e999f6dc6d0b3f0e9495bec.html,NO,NO,NO,NO,YES,YES,NO
CHN,China,Asia,Eastern Asia,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"CNY2.8 trillion will be allocated to a number of measures as outlined in the 2021 Government Work Report, including the development of car parks and electric vehicle battery charging/swapping facilities, system for recycling power batteries, develop alternative sources of energy, including nuclear energy, and others. China re-emphasized its goal to peak carbon dioxide emissions before 2030 and aim for carbon neutrality before 2060, according to the Outline of the 14th Five-Year Plan (2021-25) for Economic and Social Development and the Long-Range Objectives Through the Year 2035.","Oxford global recovery observatory: https://greenfiscalpolicy.org/observatory/#:~:text=The%20Global%20Recovery%20Observatory%20%28the%20Observatory%29%20is%20a,developed%20by%20UNDP%20and%20utilises%20the%20Observatory%20data;
http://english.www.gov.cn/news/videos/202103/06/content_WS60439b2bc6d0719374afa476.html ; http://english.www.gov.cn/news/videos/202103/24/content_WS605a8de5c6d0719374afb493.html",NO,NO,NO,NO,YES,YES,NO
CHN,China,Asia,Eastern Asia,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"The investment of the fund focuses on environmental protection and pollution control, ecological restoration and land and space greening, energy conservation and utilization, green transportation, clean energy and other fields. The final size of the fund was 88.5 billion CNY, of which the central government contributed 10 billion CNY. Other contributors include provincial and municipal governments along the Yangtze River Economic Belt, some financial institutions and enterprises.","https://web.archive.org/web/20200721140317/, https://finance.sina.com.cn/money/bank/bank_hydt/2020-07-15/doc-iivhvpwx5599537.shtml",NO,NO,NO,NO,YES,YES,NO
CHN,China,Asia,Eastern Asia,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"China's new round of UHV projects will include 12 lines, involving a total investment of over 150 billion CNY. Among them, three lines planned to start construction in 2020 will involve an investment of about 60 billion CNY. 
Whether it is for 5G, big data centres, industrial Internet or new energy vehicle charging , the construction and operation of these technologies are inseparable from the power network. The ultra-high-voltage project could also improve the power transmission efficiency and increase the transmission from inland areas with massive renewable energy production to coastal regions.","https://web.archive.org/web/20200721105821/, https://finance.sina.com.cn/chanjing/cyxw/2020-03-19/doc-iimxyqwa1774230.shtml",NO,NO,NO,NO,YES,YES,NO
COL,Colombia,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs",Credit lines or additional liquidity by financial institutions,Not Specific,Creation of a credit line for green investments from Findeter (publicly owned national development bank linked to MoF and Public Credit).,"https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=113699;
https://www.findeter.gov.co/transparencia-y-acceso-a-la-informaci%C3%B3n-publica/estados-financieros#cont; https://www.minhacienda.gov.co/webcenter/ShowProperty?nodeId=%2FConexionContent%2FWCC_CLUSTER-158933%2F%2FidcPrimaryFile&revision=latestreleased",NO,NO,NO,NO,YES,YES,NO
COL,Colombia,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,Financial support for green energy: The Ministry of Mines and Energy may use the uncommitted resources of the Electricity Networks Standardization Program -PRONE- with destination to the assignment and execution of new projects or that are already being executed.,"https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=113699; https://recovery.smithschool.ox.ac.uk/tracking/
",NO,NO,NO,NO,YES,YES,NO
COL,Colombia,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"Medellin's administration plans to expand bike lanes by almost 50% within three years, to 145 kilometres, and more than double the number of interconnected public transport lines, including overland trains, trams and cable car lines, to 26 by 2030. The city aims at providing 50,000 electric bikes that residents can rent cheaply and to electrify all public transport by the end of the decade.","https://www.concejodemedellin.gov.co/es/linea-4-ecociudad?language_content_entity=es;
https://www.concejodemedellin.gov.co/sites/default/files/L%C3%ADnea%20estrat%C3%A9gica%204%20-%20Ecociudad.pdf;
https://news.trust.org/item/20200526120704-w3g8g/",NO,NO,NO,NO,YES,YES,NO
COL,Colombia,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not Specific,"The Colombian government has assigned 19 trillion COP for sustainable energy projects as part of the ""Compromiso Colombia"" that aims at the economic reactivation and job creation plan of the country in response to the recession caused by the pandemic. The measure includes wind, solar, thermal and hydric energy projects. 
",https://compromisoporcolombia.gov.co/,NO,NO,NO,NO,YES,YES,NO
CRI,Costa Rica,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,USD 300 million loan by the CABEI to support the Government's recover measures and ensure low-carbon development. Taking out this loan also points towards future expenditures in low-carbon infrastructure and initiatives. ,https://www.eleconomista.net/actualidad/BCIE-aprueba-300-millones-a-Costa-Rica-para-recuperacion-economica-20200724-0008.html,NO,NO,NO,NO,YES,YES,NO
CRI,Costa Rica,Americas,Latin America and the Caribbean,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not Specific,Removal of fossil fuel subsidies taking advantage of low international oil prices to protect workers that lost their job due to COVID 19 pandemic (Colon billion 27). ,https://www.elmundo.cr/costa-rica/aprueban-en-segundo-debate-proyecto-que-crea-subsidio-en-favor-de-trabajadores/,NO,NO,NO,NO,YES,YES,NO
CZE,Czechia,Europe,Eastern Europe,Labour market,Activation measures and enterprise development,Not Specific,"Under the National Recovery plan digital skills will be supported by investment of €585 million in digital equipment for schools, training for teachers, new university programmes in fast-growing digital fields and upskilling and reskilling courses for citizens. The funds received from NextGenerationEU program will be in form of grants. In Czechia, the education sector accounts for nearly 12% of women's employment compared to less than 3% of men's. ",http://www.planobnovycr.cz (in Czech language),NO,YES,NO,YES,YES,YES,YES
CZE,Czechia,Europe,Eastern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not Specific,"A bill on an anti-crisis tax package to help the most affected sectors was adopted. The package touches on VAT reduction from 15 to 10 percent in the area of accommodation services, admission fees to cultural events and sporting events, admission fees to sports grounds, fare on ski lifts and admission fees to saunas and other similar facilities. ",https://www.vlada.cz/en/media-centrum/aktualne/measures-adopted-by-the-czech-government-against-coronavirus-180545/,NO,NO,NO,NO,YES,YES,NO
